Timestamp,What year of study are you in?,What major are you studying?,Do you stay on campus?,"In general, what is the main reason that you take the school bus?","On a normal school day, how many times do you take the school bus? Please enter a non-negative integer.","On a normal school day, how long do you spend riding the school bus in total (in minutes)? This does not include the time you spend waiting for the bus.",Please enter today's date.,Do you have an exam today?,Which bus stop did you board the bus from?,Which bus stop did you alight at?,Which bus did you take?,What time of day did this trip take place?,What was the weather like during your trip?,"When you were boarding the bus, approximately how many people were at the bus stop? Please enter a non-negative integer.",How long did you have to wait for the bus (in minutes)? Please account for missed buses.,"With regards to waiting time, how satisfied are you with the trip?","On a scale from 1 to 10, how crowded was the bus?","With regards to crowdedness, how satisfied are you with the trip?","On a scale from 1 to 10, how comfortable was the trip for you?","On a scale from 1 to 10, how safe was the trip for you?","On a scale from 1 to 10, how satisfied are you with the trip overall?",Which bus stop did you board the bus from?,Which bus stop did you alight at?,Which bus did you take?,What time of day did this trip take place?,What was the weather like during your trip?,"When you were boarding the bus, approximately how many people were at the bus stop? Please enter a non-negative integer.",How long did you have to wait for the bus (in minutes)? Please account for missed buses.,"With regards to waiting time, how satisfied are you with the trip?","On a scale from 1 to 10, how crowded was the bus?","With regards to crowdedness, how satisfied are you with the trip?","On a scale from 1 to 10, how comfortable was the trip for you?","On a scale from 1 to 10, how safe was the trip for you?","On a scale from 1 to 10, how satisfied are you with the trip overall?",Are there any other factors that influence how satisfied you are with the NUS bus system?
9/29/2024 17:41:45,Year 3,data science & analytics,No,To go to class,4,15,9/29/2024,No,UTown,Kent Ridge MRT / Opp Kent Ridge MRT,A1,2:22:00 AM,Sunny,22,22,5,5,5,5,5,5,UHC / Opp UHC,UTown,D1,3:33:00 AM,Sunny,33,33,6,5,5,5,5,5,no
9/29/2024 17:57:09,Year 3,DSA,No,To go to class,3,40,9/16/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,A1,9:45:00 AM,Sunny,30,15,3,9,2,5,8,6,UTown,LT27 / S17,D2,11:50:00 AM,Sunny,40,20,3,9,2,3,4,4,seats
9/29/2024 23:29:44,Year 3,Computer Science,No,To go to class,1,10,9/19/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,BIZ2 / Opp HSSML,A2,1:45:00 PM,Sunny,7,5,8,10,5,4,7,5,Kent Ridge MRT / Opp Kent Ridge MRT,BIZ2 / Opp HSSML,A2,1:45:00 PM,Sunny,7,5,7,9,4,3,6,6,N/A
9/30/2024 7:48:46,Year 4,Chemistry ,No,To go to class,2,5,9/27/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,7:30:00 AM,Rainy,20,5,5,8,5,5,9,7,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,A2,2:30:00 PM,Sunny,10,5,8,8,5,6,8,6,no
9/30/2024 9:08:10,Year 1,Dsa,No,To go to class,4,30,9/30/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,7:35:00 AM,Rainy,30,6,5,8,4,5,7,7,LT27 / S17,BIZ2 / Opp HSSML,D2,10:00:00 AM,Rainy,20,5,7,5,6,6,7,6,Nope
9/30/2024 9:31:10,Year 3,DSA,No,To go to class,3,35,9/30/2024,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,D2,9:30:00 AM,Sunny,30,3,8,8,3,4,7,6,UHC / Opp UHC,LT27 / S17,A2,2:00:00 PM,Sunny,50,20,3,9,2,5,7,4,Nil
9/30/2024 11:29:32,Year 3,DSA,No,To go to class,4,30,9/30/2024,Yes,UTown,UHC / Opp UHC,D2,11:30:00 AM,Sunny,30,2,9,5,8,8,9,9,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,9:00:00 PM,Sunny,25,10,4,8,3,4,7,5,Nil
9/30/2024 11:52:42,Year 1,dsa,No,To go to class,2,15,9/30/2024,No,LT27 / S17,UTown,D2,1:00:00 PM,Sunny,100,20,1,1,1,1,1,1,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A2,2:00:00 PM,Sunny,40,25,1,1,1,1,1,1,fucking bus delay
9/30/2024 12:02:51,Year 1,dsa,No,To go to MRT,2,10,9/30/2024,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,A2,7:45:00 AM,Rainy,25,10,3,3,2,3,3,2,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,2:00:00 PM,Sunny,30,15,3,3,1,2,4,2,nil
9/30/2024 12:05:15,Year 1,sociology,Yes,To go to class,4,15,9/30/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,9:00:00 AM,Sunny,5,7,4,4,4,4,5,4,UTown,Kent Ridge MRT / Opp Kent Ridge MRT,D2,11:30:00 AM,Sunny,25,9,4,1,1,2,3,2,nil
9/30/2024 13:54:51,Year 3,DSA,No,To go to MRT,2,25,9/30/2024,Yes,UHC / Opp UHC,LT27 / S17,D2,1:50:00 PM,Sunny,35,5,7,9,3,3,6,4,UHC / Opp UHC,UTown,D2,11:00:00 AM,Sunny,15,6,6,4,8,6,8,8,Nil
9/30/2024 14:10:31,Year 2,cs,Yes,To go to class,2,30,9/29/2024,No,UTown,LT27 / S17,D2,1:12:00 PM,Sunny,10,10,6,7,5,8,6,5,UTown,Kent Ridge MRT / Opp Kent Ridge MRT,D2,6:00:00 PM,Sunny,30,5,7,7,8,8,7,9,aircon
9/30/2024 14:21:43,Year 3,DSA,Yes,To go to class,2,10,9/30/2024,Yes,UHC / Opp UHC,LT27 / S17,A2,2:00:00 PM,Sunny,10,3,8,4,9,8,8,8,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,D2,8:00:00 AM,Sunny,10,5,7,5,7,7,8,8,"traffic conditions, driver's speed and jam brake, weather conditions, mood and friendliness of the driver, accurate prediction timings"
9/30/2024 16:50:29,Year 1,DSA,No,To go to class,1,5min,9/30/2024,No,LT27 / S17,UTown,D2,9:30:00 AM,Sunny,20,5min,7,10,5,5,6,6,UTown,Kent Ridge MRT / Opp Kent Ridge MRT,A1,11:45:00 AM,Rainy,20,5min,7,7,8,7,9,7,NIL
9/30/2024 17:18:14,Year 2,CS,No,To go to class,1,5,9/30/2024,No,COM3,Kent Ridge MRT / Opp Kent Ridge MRT,D2,5:00:00 PM,Sunny,25,5,7,7,7,7,8,7,Kent Ridge MRT / Opp Kent Ridge MRT,COM3,D2,9:00:00 AM,Sunny,30,5,6,8,6,6,7,6,If I get to sit down would be nice
